Team,Conf.,Rec.,2ndO Wins,S&P+P,S&P+R,Rk,Off. S&P+,Rk,Def. S&P+,Rk,ST S&P+,Rk,SOS,Rk,Year
Louisiana Tech,WAC,8-Apr,6.1 (2.1),36.20%,-3.8,75,23.6,81,26.9,66,-0.5,80,0.91,72,2009
Northwestern,Big Ten,5-Aug,5.7 (-2.3),35.60%,-4,76,24.4,76,27.4,68,-1.1,95,0.894,63,2009
Maryland,ACC,10-Feb,3.4 (1.4),35.60%,-4.1,77,21.4,94,25.5,55,0,59,0.887,55,2009
Colorado State,MWC,9-Mar,5.6 (2.6),34.50%,-4.5,78,29.7,50,32.8,94,-1.4,102,0.917,76,2009
Northern Illinois,MAC,6-Jul,6.8 (-0.2),34.30%,-4.6,79,23.8,79,28.5,76,0.1,54,0.961,109,2009
Temple,MAC,4-Sep,8.2 (-0.8),33.40%,-4.9,80,21.8,93,26.2,61,-0.5,76,0.961,111,2009
Louisville,Big East,8-Apr,3.7 (-0.3),32.30%,-5.4,81,23.7,80,28,71,-1.1,96,0.894,64,2009
Central Florida,C-USA,5-Aug,7.0 (-1.0),32.20%,-5.4,82,21.1,96,25.7,59,-0.8,89,0.907,70,2009
Vanderbilt,SEC,10-Feb,3.0 (1.0),32.10%,-5.5,83,16.3,109,22,40,0.2,50,0.823,11,2009
UTEP,C-USA,8-Apr,6.2 (2.2),31.60%,-5.7,84,31,40,36.1,106,-0.6,82,0.932,89,2009
Illinois,Big Ten,9-Mar,4.3 (1.3),31.50%,-5.7,85,27.1,61,32,90,-0.8,87,0.872,38,2009
Duke,ACC,7-May,5.3 (0.3),30.60%,-6.1,86,22.5,87,28.4,75,-0.2,63,0.882,51,2009
Marshall,C-USA,6-Jul,5.5 (-1.5),30.60%,-6.1,87,21.1,97,28.3,73,1.1,27,0.932,90,2009
SMU,C-USA,5-Aug,7.8 (-0.2),30.50%,-6.1,88,26,65,32.6,93,0.4,41,0.946,100,2009
Indiana,Big Ten,8-Apr,5.0 (1.0),29.20%,-6.7,89,25.4,70,30.4,82,-1.7,110,0.881,49,2009
UAB,C-USA,7-May,5.3 (0.3),28.80%,-6.8,90,30.4,43,36.9,109,-0.4,72,0.952,105,2009
Toledo,MAC,7-May,5.6 (0.6),27.60%,-7.4,91,27.8,57,34.8,103,-0.3,67,0.95,102,2009
Ohio,MAC,5-Sep,6.1 (-2.9),25.00%,-8.6,92,15.6,111,24.3,50,0.1,53,0.964,114,2009
Hawaii,WAC,7-May,7.0 (2.0),24.50%,-8.8,93,29,53,35.9,104,-1.8,112,0.943,98,2009
Idaho,WAC,6-Jul,6.5 (-0.5),20.90%,-10.6,94,32.3,33,42.1,116,-0.7,86,0.954,107,2009
San Diego State,MWC,8-Apr,5.4 (1.4),20.10%,-11,95,19.5,101,28.7,78,-1.8,111,0.917,77,2009
UNLV,MWC,7-May,4.8 (-0.2),19.10%,-11.5,96,25.4,69,36.1,105,-0.8,88,0.905,69,2009
Buffalo,MAC,7-May,5.2 (0.2),18.80%,-11.6,97,21.8,91,31.8,88,-1.6,107,0.962,112,2009
Kent State,MAC,7-May,5.0 (0.0),18.40%,-11.9,98,16.6,107,26.4,62,-2,116,0.972,119,2009
Western Michigan,MAC,7-May,5.5 (0.5),18.10%,-12,99,21.8,92,33.6,98,-0.2,66,0.968,118,2009
Utah State,WAC,8-Apr,5.2 (1.2),17.00%,-12.7,100,25.7,68,37.1,110,-1.3,101,0.921,79,2009
Wyoming,MWC,6-Jul,3.6 (-3.4),14.30%,-14.4,101,16.9,106,30.9,86,-0.3,69,0.88,47,2009
Memphis,C-USA,10-Feb,3.3 (1.3),14.20%,-14.4,102,22.8,84,36.8,108,-0.3,70,0.935,94,2009
North Texas,Sun Belt,10-Feb,6.3 (4.3),13.10%,-15.1,103,22.3,88,36.7,107,-0.7,83,0.947,101,2009
UL-Monroe,Sun Belt,6-Jun,5.8 (-0.2),12.50%,-15.6,104,19.6,99,33.3,97,-1.9,114,0.935,93,2009
Ball State,MAC,10-Feb,3.2 (1.2),10.20%,-17.3,105,15,113,32.3,92,0,60,0.963,113,2009
Florida Atlantic,Sun Belt,7-May,5.6 (0.6),10.20%,-17.3,106,25.8,67,42.6,118,-0.5,77,0.95,104,2009
Akron,MAC,9-Mar,4.6 (1.6),9.60%,-17.8,107,16.3,110,31.9,89,-2.2,118,0.953,106,2009
Arkansas State,Sun Belt,8-Apr,4.7 (0.7),9.20%,-18.2,108,14.5,114,33.1,96,0.4,47,0.945,99,2009
Miami-OH,MAC,11-Jan,2.8 (1.8),8.40%,-18.9,109,17.7,103,33.9,101,-2.7,120,0.935,95,2009
New Mexico,MWC,11-Jan,1.9 (0.9),8.20%,-19.1,110,16.4,108,33.8,99,-1.7,109,0.879,44,2009
Army,Ind,8-Apr,3.6 (-0.4),5.90%,-21.7,111,6.5,119,27.7,70,-0.5,79,0.975,120,2009
Tulane,C-USA,9-Mar,3.0 (0.0),5.50%,-22.2,112,19.6,100,39.4,115,-2.4,119,0.934,92,2009
Washington State,Pac-10,11-Jan,0.0 (-1.0),5.40%,-22.2,113,17.6,104,38.5,113,-1.4,103,0.876,41,2009
UL-Lafayette,Sun Belt,6-Jun,3.8 (-2.2),4.40%,-23.8,114,13.5,116,37.5,111,0.2,49,0.931,88,2009
San Jose State,WAC,10-Feb,1.5 (-0.5),3.50%,-25.2,115,13.5,115,37.7,112,-1.1,97,0.912,74,2009
Rice,C-USA,10-Feb,1.0 (-1.0),3.10%,-26,116,15,112,39.2,114,-1.9,115,0.928,85,2009
Western Kentucky,Sun Belt,0-11,1.8 (1.8),2.40%,-27.8,117,17.1,105,45.3,120,0.4,44,0.965,116,2009
New Mexico State,WAC,9-Apr,1.9 (-2.1),2.10%,-28.5,118,6.2,120,33,95,-1.6,106,0.937,96,2009
Florida International,Sun Belt,9-Mar,2.2 (-0.8),1.60%,-30.3,119,12.6,117,42.6,119,-0.3,68,0.893,61,2009
Eastern Michigan,MAC,11-Jan,1.0 (0.0),1.00%,-32.7,120,11.7,118,42.3,117,-2.1,117,0.957,108,2009
Alabama,SEC,3-Oct,11.4 (1.4),96.90%,30.1,1,43.9,4,14.2,7,0.4,53,0.817,14,2010
Ohio State,Big Ten,1-Dec,11.5 (-0.5),96.80%,30,2,40.5,10,11.4,2,1,29,0.858,41,2010
Oregon,Pac-10,1-Dec,10.8 (-1.2),96.00%,28.2,3,43.5,5,16,14,0.8,39,0.84,25,2010
Stanford,Pac-10,1-Dec,11.4 (-0.6),95.90%,28.1,4,44.4,3,17.3,17,1,25,0.839,24,2010
Arkansas,SEC,3-Oct,10.1 (0.1),95.30%,27.1,5,44.8,2,19.3,27,1.7,12,0.775,4,2010
Auburn,SEC,14-0,11.1 (-2.9),94.90%,26.5,6,49.4,1,22.7,44,-0.1,69,0.769,2,2010
Boise State,WAC,1-Dec,12.6 (0.6),94.90%,26.4,7,42.1,7,14.1,6,-1.6,103,0.919,81,2010
Oklahoma State,Big 12,2-Nov,11.6 (0.6),94.50%,25.9,8,42.9,6,19.5,29,2.5,1,0.874,54,2010
TCU,MWC,13-0,12.2 (-0.8),94.00%,25.2,9,39.4,14,15.8,12,1.6,15,0.921,84,2010
Oklahoma,Big 12,2-Dec,9.7 (-2.3),92.60%,23.5,10,37.8,17,15.9,13,1.6,13,0.851,36,2010
Wisconsin,Big Ten,2-Nov,10.6 (-0.4),92.20%,23.1,11,42.1,8,20.7,34,1.6,14,0.86,46,2010
Georgia,SEC,7-Jun,8.6 (2.6),91.40%,22.2,12,41,9,20.9,36,2.2,4,0.847,30,2010
Miami-FL,ACC,6-Jul,9.0 (2.0),90.70%,21.6,13,34.9,23,14,5,0.6,44,0.834,21,2010
Virginia Tech,ACC,3-Nov,10.8 (-0.2),90.30%,21.2,14,39.6,12,20,31,1.6,16,0.851,35,2010
LSU,SEC,2-Nov,8.3 (-2.7),89.40%,20.4,15,33.1,34,14.8,9,2.1,5,0.806,9,2010
South Carolina,SEC,5-Sep,10.8 (1.8),89.20%,20.3,16,38.6,16,19,25,0.7,43,0.769,3,2010
Florida State,ACC,4-Oct,9.4 (-0.6),88.50%,19.7,17,34.6,26,16.9,16,1.9,6,0.833,19,2010
Missouri,Big 12,3-Oct,10.0 (0.0),88.00%,19.3,18,35.2,21,17.6,19,1.7,10,0.871,51,2010
Nebraska,Big 12,4-Oct,9.6 (-0.4),87.40%,18.8,19,30.8,42,14.3,8,2.3,3,0.872,52,2010
Iowa,Big Ten,5-Aug,8.4 (0.4),84.80%,17,20,35.9,19,19.8,30,0.9,34,0.852,37,2010
Notre Dame,Ind,5-Aug,8.9 (0.9),84.10%,16.5,21,32.2,35,16.7,15,1,26,0.852,38,2010
West Virginia,Big East,4-Sep,10.5 (1.5),83.50%,16.2,22,26.9,68,9.6,1,-1.1,98,0.91,76,2010
USC,Pac-10,5-Aug,6.6 (-1.4),81.90%,15.2,23,39,15,23,45,-0.8,88,0.827,17,2010
Arizona,Pac-10,6-Jul,8.3 (1.3),81.30%,14.8,24,34.5,29,19.4,28,-0.3,74,0.808,11,2010
Arizona State,Pac-10,6-Jun,7.3 (1.3),81.00%,14.6,25,35.7,20,21,37,0,66,0.82,16,2010
Florida,SEC,5-Aug,7.0 (-1.0),79.80%,14,26,29.3,57,15.6,11,0.2,60,0.819,15,2010
Michigan State,Big Ten,2-Nov,9.4 (-1.6),79.50%,13.8,27,34.7,25,23.3,46,2.4,2,0.859,42,2010
Texas A&M,Big 12,4-Sep,8.5 (-0.5),79.50%,13.8,28,32,36,17.9,20,-0.2,73,0.804,8,2010
Hawaii,WAC,4-Oct,10.7 (0.7),77.60%,12.8,29,39.5,13,26.4,58,-0.2,72,0.927,88,2010
Utah,MWC,3-Oct,8.3 (-1.7),76.50%,12.2,30,31.8,38,20.1,32,0.6,46,0.878,60,2010
Maryland,ACC,4-Sep,7.9 (-1.1),75.90%,11.9,31,29.9,52,18.3,23,0.3,59,0.894,67,2010
Pittsburgh,Big East,5-Aug,8.8 (0.8),74.60%,11.3,32,29.7,55,18.7,24,0.4,52,0.886,63,2010
Louisville,Big East,6-Jul,7.6 (0.6),73.80%,10.9,33,28.6,60,19.1,26,1.4,19,0.93,89,2010
Nevada,WAC,13-1,11.2 (-1.8),73.70%,10.8,34,37.6,18,26.5,59,-0.3,76,0.92,83,2010
Mississippi State,SEC,5-Aug,8.0 (0.0),73.10%,10.6,35,32,37,20.9,35,-0.5,78,0.798,7,2010
Texas,Big 12,7-May,6.3 (1.3),73.10%,10.6,36,24.8,73,15.3,10,1.1,24,0.856,40,2010
Clemson,ACC,7-May,6.9 (1.9),72.20%,10.1,37,24,76,13.3,3,-0.5,82,0.842,28,2010
California,Pac-10,7-May,5.8 (0.8),72.00%,10,38,28,64,17.4,18,-0.6,84,0.829,18,2010
NC State,ACC,4-Sep,6.8 (-2.2),70.40%,9.3,39,29.7,54,20.5,33,0.1,61,0.873,53,2010
San Diego State,MWC,4-Sep,9.9 (0.9),69.40%,8.9,40,34.3,31,25.5,53,0,64,0.917,79,2010
Kansas State,Big 12,6-Jul,6.3 (-0.7),68.90%,8.6,41,34.4,30,27.4,64,1.7,11,0.88,61,2010
Illinois,Big Ten,6-Jul,7.8 (0.8),68.70%,8.6,42,30.2,49,22.4,41,0.8,38,0.877,58,2010
Tennessee,SEC,7-Jun,5.8 (-0.2),66.80%,7.7,43,30.5,44,23.6,48,0.8,36,0.807,10,2010
North Carolina,ACC,5-Aug,8.8 (0.8),66.70%,7.7,44,30.9,41,22.2,38,-1,94,0.859,43,2010
Michigan,Big Ten,6-Jul,7.1 (0.1),66.60%,7.7,45,40.2,11,30.6,77,-2,109,0.843,29,2010
Northern Illinois,MAC,3-Nov,11.9 (0.9),66.40%,7.6,46,34.5,28,25.9,55,-1.1,96,0.976,119,2010
Texas Tech,Big 12,5-Aug,7.4 (-0.6),65.90%,7.4,47,34.2,32,26.9,62,0.1,62,0.869,49,2010
Boston College,ACC,6-Jul,6.8 (-0.2),65.40%,7.1,48,19.9,96,13.5,4,0.7,41,0.874,55,2010
Penn State,Big Ten,6-Jul,7.3 (0.3),64.00%,6.6,49,29.2,58,23.5,47,0.9,31,0.842,27,2010
Kentucky,SEC,7-Jun,6.3 (0.3),62.60%,6,50,34.6,27,28.9,71,0.3,58,0.849,32,2010
Southern Miss,C-USA,5-Aug,8.6 (0.6),61.70%,5.6,51,30.2,48,26.5,60,1.8,8,0.946,98,2010
Syracuse,Big East,5-Aug,7.7 (-0.3),60.90%,5.3,52,22.2,82,18.1,21,1.2,23,0.923,86,2010
Central Florida,C-USA,3-Nov,11.0 (0.0),60.50%,5.1,53,28.2,63,22.4,40,-0.7,86,0.942,95,2010
Oregon State,Pac-10,7-May,4.6 (-0.4),59.20%,4.6,54,30.6,43,25.5,54,-0.5,79,0.755,1,2010
Baylor,Big 12,6-Jul,7.2 (0.2),59.20%,4.6,55,34.9,24,29.5,74,-0.9,89,0.847,31,2010
Air Force,MWC,4-Sep,9.1 (0.1),57.50%,3.9,56,30.5,45,24.7,50,-1.9,105,0.901,70,2010
UCLA,Pac-10,8-Apr,4.2 (0.2),57.40%,3.9,57,26.5,69,24.1,49,1.5,17,0.815,12,2010
Fresno State,WAC,5-Aug,7.4 (-0.6),57.00%,3.7,58,29.9,51,27.5,65,1.3,21,0.909,75,2010
BYU,MWC,6-Jul,6.5 (-0.5),56.00%,3.3,59,24.6,74,22.5,43,1.2,22,0.897,68,2010
Washington,Pac-10,6-Jul,6.0 (-1.0),55.60%,3.2,60,29.2,59,26,56,0,63,0.796,5,2010
Georgia Tech,ACC,7-Jun,6.5 (0.5),54.90%,2.9,61,30.4,47,27.9,70,0.3,55,0.88,62,2010
Ole Miss,SEC,7-May,4.7 (-0.3),54.70%,2.8,62,31.5,39,29.5,75,0.8,37,0.816,13,2010
Cincinnati,Big East,8-Apr,5.4 (1.4),54.10%,2.5,63,28.4,62,27.7,68,1.9,7,0.889,64,2010
South Florida,Big East,5-Aug,6.1 (-1.9),48.60%,0.4,64,19.1,98,18.1,22,-0.5,80,0.891,65,2010
Tulsa,C-USA,3-Sep,8.9 (-0.1),48.60%,0.4,65,35.2,22,35.1,100,0.3,54,0.919,82,2010
Northwestern,Big Ten,6-Jul,6.0 (-1.0),44.80%,-1.1,66,30.9,40,32.8,84,0.7,40,0.905,72,2010
Colorado,Big 12,7-May,4.6 (-0.4),42.90%,-1.9,67,27.3,66,27.7,66,-1.4,102,0.835,22,2010
Virginia,ACC,8-Apr,4.9 (0.9),42.10%,-2.1,68,29.8,53,31.9,81,0,65,0.862,47,2010
SMU,C-USA,7-Jul,8.9 (1.9),39.60%,-3.2,69,29.9,50,30.6,78,-2.5,115,0.942,96,2010
Connecticut,Big East,5-Aug,4.5 (-3.5),38.50%,-3.6,70,17.9,104,22.4,42,0.9,32,0.901,69,2010
Navy,Ind,4-Sep,7.6 (-1.4),37.10%,-4.2,71,29.5,56,33.5,91,-0.2,70,0.944,97,2010
Troy,Sun Belt,5-Aug,7.8 (-0.2),36.60%,-4.4,72,27.8,65,32.7,83,0.5,48,0.937,92,2010
Western Michigan,MAC,6-Jun,7.1 (1.1),36.30%,-4.5,73,25.1,71,30.2,76,0.6,45,0.949,102,2010
Houston,C-USA,7-May,5.9 (0.9),35.80%,-4.7,74,30.5,46,35.7,103,0.5,49,0.949,103,2010
Temple,MAC,4-Aug,6.7 (-1.3),34.80%,-5.2,75,20.9,88,25.4,52,-0.6,85,0.969,115,2010
East Carolina,C-USA,7-Jun,5.7 (-0.3),34.50%,-5.3,76,33.2,33,39.7,115,1.3,20,0.919,80,2010
Indiana,Big Ten,7-May,5.3 (0.3),34.40%,-5.3,77,28.4,61,33.5,92,-0.2,71,0.87,50,2010
Toledo,MAC,5-Aug,7.4 (-0.6),33.90%,-5.5,78,23.9,77,27.1,63,-2.3,114,0.932,90,2010
Iowa State,Big 12,7-May,4.3 (-0.7),33.50%,-5.7,79,20.2,94,25,51,-0.9,92,0.841,26,2010
Purdue,Big Ten,8-Apr,3.5 (-0.5),31.50%,-6.5,80,18.8,100,26.3,57,0.9,30,0.86,45,2010
Ohio,MAC,5-Jul,8.0 (1.0),31.40%,-6.6,81,21,87,29,72,1.4,18,0.95,104,2010
Miami-OH,MAC,4-Oct,8.2 (-1.8),31.10%,-6.7,82,21.9,83,26.6,61,-2.1,112,0.946,99,2010
Washington State,Pac-10,10-Feb,1.2 (-0.8),29.70%,-7.4,83,27,67,35.3,102,1,27,0.796,6,2010
Louisiana Tech,WAC,7-May,4.8 (-0.2),29.60%,-7.4,84,23.9,78,33,86,1.7,9,0.901,71,2010
Kent State,MAC,7-May,6.4 (1.4),29.30%,-7.6,85,15.3,111,22.2,39,-0.6,83,0.972,117,2010
Duke,ACC,9-Feb,4.2 (2.2),25.00%,-9.6,86,23.8,79,34.3,97,1,28,0.855,39,2010
UAB,C-USA,8-Apr,6.0 (2.0),24.70%,-9.7,87,26,70,33.2,88,-2.5,116,0.954,107,2010
Vanderbilt,SEC,10-Feb,3.2 (1.2),24.20%,-10,88,20.5,93,29.4,73,-1.1,97,0.833,20,2010
Minnesota,Big Ten,9-Mar,2.2 (-0.8),23.30%,-10.4,89,25.1,72,33.6,93,-2,107,0.836,23,2010
UTEP,C-USA,7-May,6.2 (1.2),21.90%,-11.2,90,23.3,81,33.9,96,-0.5,81,0.948,100,2010
Rutgers,Big East,8-Apr,4.5 (0.5),20.80%,-11.7,91,17,107,27.7,67,-1.1,95,0.924,87,2010
Idaho,WAC,7-Jun,6.1 (0.1),20.50%,-11.9,92,21.2,86,33.5,90,0.4,51,0.908,73,2010
Wake Forest,ACC,9-Feb,3.4 (1.4),20.10%,-12.1,93,20.7,91,32.4,82,-0.4,77,0.851,34,2010
Florida International,Sun Belt,6-Jul,7.3 (0.3),19.80%,-12.3,94,20.8,89,33.5,89,0.3,56,0.954,106,2010
Middle Tennessee,Sun Belt,7-Jun,6.5 (0.5),19.40%,-12.5,95,19.4,97,32.8,85,0.9,33,0.988,120,2010
Wyoming,MWC,9-Mar,3.6 (0.6),18.50%,-13,96,20,95,33.9,95,0.8,35,0.876,56,2010
Marshall,C-USA,7-May,4.3 (-0.7),16.80%,-14.1,97,15.7,109,27.8,69,-2,111,0.913,77,2010
Army,Ind,6-Jul,6.1 (-0.9),16.00%,-14.6,98,19,99,33.9,94,0.3,57,0.951,105,2010
Central Michigan,MAC,9-Mar,4.8 (1.8),15.80%,-14.7,99,21.9,84,34.4,99,-2.2,113,0.948,101,2010
North Texas,Sun Belt,9-Mar,5.4 (2.4),14.50%,-15.6,100,20.7,92,36.2,104,0,67,0.973,118,2010
Ball State,MAC,8-Apr,4.5 (0.5),14.40%,-15.6,101,17.5,105,33,87,-0.1,68,0.962,111,2010
Arkansas State,Sun Belt,8-Apr,5.5 (1.5),14.00%,-15.9,102,24.5,75,39.1,114,-1.3,100,0.941,94,2010
Rice,C-USA,8-Apr,2.5 (-1.5),13.00%,-16.6,103,23.6,80,40.6,117,0.4,50,0.956,108,2010
Colorado State,MWC,9-Mar,2.6 (-0.4),12.70%,-16.8,104,20.7,90,36.7,107,-0.9,90,0.909,74,2010
Kansas,Big 12,9-Mar,2.3 (-0.7),12.50%,-17,105,15.8,108,31.9,80,-1,93,0.864,48,2010
San Jose State,WAC,12-Jan,4.4 (3.4),12.40%,-17.1,106,21.3,85,37,108,-1.4,101,0.849,33,2010
Utah State,WAC,8-Apr,3.2 (-0.8),9.90%,-19.2,107,17.1,106,34.4,98,-1.8,104,0.878,59,2010
Tulane,C-USA,8-Apr,3.1 (-0.9),7.80%,-21.1,108,18.5,101,37.7,111,-2,108,0.967,113,2010
Florida Atlantic,Sun Belt,8-Apr,3.9 (-0.1),6.40%,-22.8,109,14.5,112,36.6,106,-0.7,87,0.961,110,2010
Bowling Green,MAC,10-Feb,2.0 (0.0),5.80%,-23.5,110,14.2,113,35.1,101,-2.6,117,0.972,116,2010
UNLV,MWC,11-Feb,2.0 (0.0),5.50%,-24,111,18.1,103,40.8,118,-1.3,99,0.86,44,2010
UL-Monroe,Sun Belt,7-May,4.4 (-0.6),5.40%,-24.1,112,13.2,115,36.4,105,-0.9,91,0.893,66,2010
New Mexico,MWC,11-Jan,1.1 (0.1),5.00%,-24.8,113,14.1,114,38.6,112,-0.3,75,0.876,57,2010
Memphis,C-USA,11-Jan,0.9 (-0.1),4.80%,-25,114,13.1,116,38.8,113,0.7,42,0.939,93,2010
Buffalo,MAC,10-Feb,3.0 (1.0),3.60%,-27,115,6.5,120,31.5,79,-2,110,0.968,114,2010
Western Kentucky,Sun Belt,10-Feb,2.9 (0.9),3.40%,-27.6,116,12.5,117,37.2,109,-2.9,120,0.957,109,2010
Akron,MAC,10-Jan,2.5 (1.5),3.10%,-28.2,117,11,118,37.2,110,-2,106,0.964,112,2010
UL-Lafayette,Sun Belt,9-Mar,2.2 (-0.8),3.10%,-28.2,118,15.5,110,41,119,-2.8,119,0.922,85,2010
Eastern Michigan,MAC,10-Feb,2.7 (0.7),2.70%,-29.2,119,18.2,102,44.8,120,-2.7,118,0.933,91,2010
New Mexico State,WAC,10-Feb,0.6 (-1.4),2.60%,-29.4,120,10.1,119,40.1,116,0.5,47,0.914,78,2010
USC,Pac-10,1-Dec,12.3 (0.3),99.20%,37,1,44.4,5,7.2,2,-0.3,64,0.884,28,2008
Texas,Big 12,1-Dec,10.9 (-1.1),99.10%,36,2,50.3,2,15.8,16,1.5,17,0.855,11,2008
Florida,SEC,13-1,13.1 (0.1),98.80%,34.7,3,43.7,7,11.2,6,2.2,8,0.865,15,2008
Oklahoma,Big 12,2-Dec,11.7 (-0.3),98.30%,32.4,4,52.3,1,18.1,23,-1.8,109,0.814,1,2008
Penn State,Big Ten,2-Nov,11.1 (0.1),97.20%,29.5,5,41.1,10,13.5,10,2,10,0.879,23,2008
Iowa,Big Ten,4-Sep,11.0 (2.0),94.90%,25.5,6,35.4,19,10.9,4,1,29,0.929,55,2008
Missouri,Big 12,4-Oct,10.3 (0.3),93.60%,24,7,43.8,6,22.3,49,2.5,3,0.863,13,2008
Oklahoma State,Big 12,4-Sep,9.1 (0.1),93.20%,23.4,8,46.5,4,24.5,56,1.4,21,0.85,5,2008
Texas Tech,Big 12,2-Nov,9.8 (-1.2),92.80%,23,9,49.8,3,25.5,66,-1.2,102,0.851,10,2008
Alabama,SEC,2-Dec,10.9 (-1.1),92.80%,23,10,34.2,23,10.9,5,-0.3,68,0.883,26,2008
Ohio State,Big Ten,3-Oct,8.8 (-1.2),92.50%,22.7,11,32.7,31,12.2,8,2.3,7,0.85,6,2008
Georgia,SEC,3-Oct,9.3 (-0.7),90.60%,20.9,12,39.2,13,18.3,26,0.1,55,0.891,32,2008
LSU,SEC,5-Aug,8.0 (0.0),90.40%,20.8,13,35.7,18,17.5,20,2.6,2,0.889,31,2008
Boise State,WAC,1-Dec,11.7 (-0.3),89.20%,19.8,14,33.8,25,15,14,1,30,0.959,85,2008
Oregon,Pac-10,3-Oct,9.9 (-0.1),89.00%,19.6,15,38.4,16,18.3,25,-0.5,80,0.874,21,2008
TCU,MWC,2-Nov,11.5 (0.5),88.50%,19.2,16,30.5,37,11.8,7,0.5,45,0.919,49,2008
Nebraska,Big 12,4-Sep,8.6 (-0.4),88.00%,18.9,17,42,8,23.8,55,0.7,36,0.885,29,2008
Florida State,ACC,4-Sep,9.1 (0.1),87.80%,18.7,18,33.8,27,17.7,21,2.6,1,0.907,44,2008
Utah,MWC,13-0,10.5 (-2.5),87.00%,18.2,19,31.5,34,15.6,15,2.3,6,0.939,67,2008
California,Pac-10,4-Sep,9.2 (0.2),86.80%,18,20,32.7,30,14.3,13,-0.4,69,0.894,34,2008
Ole Miss,SEC,4-Sep,8.5 (-0.5),85.40%,17.1,21,35.1,21,19.6,36,1.6,15,0.884,27,2008
Arizona,Pac-10,5-Aug,8.6 (0.6),84.20%,16.3,22,34.9,22,20.5,43,1.9,13,0.9,38,2008
Kansas,Big 12,5-Aug,8.5 (0.5),83.60%,16,23,41.9,9,25.4,64,-0.5,73,0.85,7,2008
Ball State,MAC,2-Dec,12.0 (0.0),80.50%,14.3,24,38.9,15,26.1,69,1.5,16,0.989,120,2008
Oregon State,Pac-10,4-Sep,9.2 (0.2),80.40%,14.2,25,33.7,28,19.1,31,-0.4,71,0.856,12,2008
Clemson,ACC,6-Jul,8.1 (1.1),77.50%,12.8,26,27,57,14.2,12,0,58,0.919,48,2008
BYU,MWC,3-Oct,9.9 (-0.1),76.30%,12.2,27,38.3,17,26.3,70,0.1,53,0.952,80,2008
Tennessee,SEC,7-May,7.3 (2.3),75.80%,12,28,19.3,97,6.8,1,-0.5,75,0.9,40,2008
Boston College,ACC,5-Sep,9.0 (0.0),73.70%,11,29,23,79,10,3,-2,112,0.941,70,2008
Miami-FL,ACC,6-Jul,5.9 (-1.1),73.40%,10.9,30,26.8,59,17.9,22,2,9,0.904,42,2008
Wisconsin,Big Ten,6-Jul,7.7 (0.7),72.60%,10.5,31,31.3,35,22,48,1.2,24,0.892,33,2008
North Carolina,ACC,5-Aug,8.9 (0.9),72.00%,10.2,32,27.1,56,17.5,19,0.6,38,0.95,79,2008
Pittsburgh,Big East,4-Sep,8.1 (-0.9),68.90%,9,33,26.2,63,19.2,33,1.9,11,0.935,61,2008
Illinois,Big Ten,7-May,7.0 (2.0),68.80%,8.9,34,33.2,29,23.8,54,-0.5,78,0.875,22,2008
Cincinnati,Big East,3-Nov,9.7 (-1.3),68.00%,8.6,35,25.9,64,19.7,38,2.4,4,0.938,65,2008
Georgia Tech,ACC,4-Aug,8.5 (0.5),68.00%,8.6,36,29.5,41,18.9,29,-2,111,0.913,45,2008
Virginia Tech,ACC,4-Oct,6.7 (-3.3),66.90%,8.1,37,20.6,89,13.1,9,0.6,39,0.928,54,2008
South Florida,Big East,5-Aug,8.9 (0.9),66.60%,8,38,28.8,49,20.9,45,0.1,52,0.961,89,2008
South Carolina,SEC,6-Jul,7.4 (0.4),66.00%,7.8,39,23.7,75,16.3,17,0.4,48,0.863,14,2008
Maryland,ACC,5-Aug,7.2 (-0.8),65.40%,7.6,40,28.8,48,21.6,47,0.3,49,0.933,58,2008
Northwestern,Big Ten,4-Sep,8.5 (-0.5),64.60%,7.3,41,26.7,60,19.3,34,-0.1,62,0.914,46,2008
Tulsa,C-USA,2-Nov,10.8 (-0.2),64.10%,7,42,39.3,12,31.8,89,-0.5,74,0.974,115,2008
Notre Dame,Ind,6-Jul,7.7 (0.7),63.30%,6.8,43,26.7,61,19,30,-1,92,0.923,51,2008
Michigan State,Big Ten,4-Sep,6.3 (-2.7),63.00%,6.6,44,24.9,68,19.8,40,1.5,19,0.872,17,2008
Houston,C-USA,5-Aug,9.2 (1.2),62.50%,6.4,45,39.2,14,31.5,85,-1.2,103,0.961,87,2008
Wake Forest,ACC,5-Aug,7.5 (-0.5),62.50%,6.4,46,20.3,91,13.6,11,-0.2,63,0.933,57,2008
West Virginia,Big East,4-Sep,7.8 (-1.2),61.90%,6.2,47,25.5,65,21.1,46,1.7,14,0.962,92,2008
Kansas State,Big 12,7-May,5.0 (0.0),61.40%,6,48,35.3,20,30.3,82,1,28,0.882,25,2008
Troy,Sun Belt,5-Aug,9.3 (1.3),58.60%,5,49,27.8,52,22.6,52,-0.3,65,0.937,64,2008
Connecticut,Big East,5-Aug,7.7 (-0.3),58.30%,4.9,50,22.3,84,18.3,24,0.8,35,0.963,94,2008
Arkansas,SEC,8-Apr,5.9 (1.9),58.20%,4.8,51,32.3,32,25.8,68,-1.7,107,0.842,4,2008
Rice,C-USA,3-Oct,8.4 (-1.6),58.10%,4.8,52,40.5,11,35.1,104,-0.6,82,0.94,68,2008
